Product1,Product2
escalope,mushroom cream sauce
escalope,pasta
herb & pepper,ground beef
tomato sauce,ground beef
shrimp,pasta
spaghetti,cooking oil
escalope,mushroom cream sauce
escalope,nan
spaghetti,frozen vegetables
olive oil,frozen vegetables
shrimp,mineral water
tomatoes,frozen vegetables
spaghetti,grated cheese
herb & pepper,mineral water
herb & pepper,nan
herb & pepper,spaghetti
tomato sauce,nan
spaghetti,shrimp
shrimp,nan
spaghetti,cooking oil
spaghetti,frozen vegetables
olive oil,frozen vegetables
shrimp,mineral water
tomatoes,frozen vegetables
spaghetti,grated cheese
herb & pepper,mineral water
herb & pepper,spaghetti
spaghetti,shrimp
